path,action,bucket,notes
.backstage/templates/argocd-application/skeleton/argocd-apps/applications/{{values.name}}.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-application/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-kubernetes/skeleton/README.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-kubernetes/skeleton/argocd-apps/applications/${{values.name}}-k8s.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-kubernetes/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/gitops-manifest-updater/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/go-library-release/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/README.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/base/deployment.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/base/httproute.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/base/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/base/service.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/overlays/erauner-home/production/externalsecret-1password.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/overlays/erauner-home/production/externalsecret-combined.yaml.template,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/overlays/erauner-home/production/ksops-generator.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/apps/${{values.name}}/overlays/erauner-home/production/secret.sops.yaml.template,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/skeleton/argocd-apps/applications/${{values.name}}.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-app-with-secrets/terraform/${{values.name}}.tf,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/skeleton/apps/${{values.name}}/README.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/skeleton/apps/${{values.name}}/base/deployment.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/skeleton/apps/${{values.name}}/base/httproute.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/skeleton/apps/${{values.name}}/base/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/skeleton/apps/${{values.name}}/base/service.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/skeleton/apps/${{values.name}}/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/kubernetes-deployment/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/version-promote/template.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.claude/skills/1password/SKILL.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.dockerignore,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.env.example,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.github/PULL_REQUEST_TEMPLATE/dependency_update.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/PULL_REQUEST_TEMPLATE/gitops-split-infrastructure-template.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/PULL_REQUEST_TEMPLATE/gitops-split-pr-template.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/PULL_REQUEST_TEMPLATE/gitops-split-process-automation-template.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/workflows/README.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/workflows/claude.yml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/workflows/gitops-validation.yml.disabled,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.github/workflows/static-validation.yml.disabled,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.gitignore,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.golangci-ci.yml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.golangci-release.yml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.golangci.yml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.pre-commit-config.yaml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.schemas/.gitkeep,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.schemas/argocd/application-crd.yaml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.schemas/argocd/applicationset-crd.yaml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.schemas/argocd/appproject-crd.yaml,EXCLUDE_OUT_OF_SCOPE,other,not needed for minimal cousin bootstrap
.sops.yaml,PORT_CORE,bootstrap-docs,core workflow and operating docs
Jenkinsfile,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
Jenkinsfile.build-go-tools,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
Jenkinsfile.claude-review,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
Jenkinsfile.publish-packages,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
Makefile,PORT_CORE,bootstrap-docs,core workflow and operating docs
README.md,PORT_CORE,bootstrap-docs,core workflow and operating docs
Taskfile.yml,PORT_CORE,bootstrap-docs,core workflow and operating docs
alerts/base/argocd-app-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/argocd-server-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/backup-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/basic-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/capacity-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/descheduler-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/disk-saturation-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/envoy-slo-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/housekeeping-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/logging-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/loki-alerting-rules.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/README.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/argocd-app-alerts-24h-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/argocd-app-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/argocd-server-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/backup-alerts-48h-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/backup-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/basic-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/capacity-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/descheduler-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/disk-saturation-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/envoy-slo-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/housekeeping-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/logging-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/loki-alerting-rules-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/run-tests.sh,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/test-alert.sh,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/base/tests/validate-runbook-urls.sh,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/longhorn-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/network-nfs-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/node-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/plex-health-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/tests/longhorn-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/tests/network-nfs-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/tests/node-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/tests/plex-health-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/tests/run-tests.sh,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/tests/ubiquiti-infrastructure-alerts-test.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/overlays/erauner-home/ubiquiti-infrastructure-alerts.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
alerts/tests/run-tests.sh,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
apps/OAUTH_DISABLED_README.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/README.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/README_1PASSWORD_PATTERN.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/base/.argocd-allow-concurrency,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/base/values/values.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/db/base/cnpg-cluster.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/db/base/db-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/appflowy/db/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/db/base/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/db/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/overlays/erauner-home/common/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/overlays/erauner-home/production/appflowy-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/appflowy/overlays/erauner-home/production/certificate.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/overlays/erauner-home/production/httproute.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/overlays/erauner-home/production/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/appflowy/stack/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/README.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/base/download-mode-configmap.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/base/values.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/overlays/erauner-home/production/certificate.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/overlays/erauner-home/production/github-token-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/athens/overlays/erauner-home/production/httproute.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/athens/overlays/erauner-home/production/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/base/deployment.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/base/pvc-data-nfs.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/overlays/erauner-home/production/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/overlays/erauner-home/production/secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/autodoist/overlays/erauner-home/production/webui-deployment.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/overlays/erauner-home/production/webui-httproute.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/autodoist/overlays/erauner-home/production/webui-service.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/README.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/.argocd-allow-concurrency,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/app-config-database.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/backstage-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/backstage/base/cluster-rbac-binding.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/cluster-rbac.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/httproute-internal.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/update-github-auth.sh,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/update-github-token.sh,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/base/values.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/db/base/cnpg-cluster.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/db/base/db-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/backstage/db/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/db/base/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/db/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/backstage/stack/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/README.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/base/.argocd-allow-concurrency,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/base/coder-app-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/coder/base/coder-gitauth-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/coder/base/coder-oidc-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/coder/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/base/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/base/values.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/db/base/cnpg-cluster.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/db/base/db-secret.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/coder/db/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/db/base/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/certificate.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/coder-role.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/coder-rolebinding.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/httproute.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/pgo-barman.sops.yaml,EXCLUDE_PROPRIETARY_RECREATE,secrets,contains encrypted or environment-specific secret material
apps/coder/overlays/erauner-home/production/secret-generator.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/overlays/erauner-home/production/service-patch.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/coder/stack/erauner-home/production/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/devops/istio-policies/destinationrule-circuit-breaker.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/devops/istio-policies/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/devops/istio-policies/peerauthentication-mcp-permissive.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/devops/istio-policies/peerauthentication-mtls.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/devops/istio-policies/virtualservice-mcp-retries.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/firefly-data-importer/README.md,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/firefly-data-importer/base/.argocd-allow-concurrency,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/firefly-data-importer/base/cronjob-http.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/firefly-data-importer/base/deployment.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/firefly-data-importer/base/job-manual.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
apps/firefly-data-importer/base/kustomization.yaml,EXCLUDE_APP_SPECIFIC,apps,app-specific workload not part of minimal cousin baseline
